Spectrum 	 Iteration 
   1 	 	    1 
   2 	 	    1 
   3 	 	    1 
   4 	 	    5 
   5 	 	    1 
   6 	 	    1 
   7 	 	    1 
   8 	 	    6 
   9 	 	    3 
  10 	 	    3 
  11 	 	    2 
  12 	 	    8 
  13 	 	    1 
  14 	 	    3 
  15 	 	    1 
  16 	 	    1 
  17 	 	    3 
  18 	 	    7 
  19 	 	    1 
  20 	 	    8 
  21 	 	    1 
  22 	 	    1 
  23 	 	    1 
  24 	 	    2 
  25 	 	    1 
  26 	 	    6 
  27 	 	    3 
  28 	 	    2 
  29 	 	    1 
  30 	 	    1 
  31 	 	    1 
  32 	 	    1 
  33 	 	    8 
  34 	 	    1 
  35 	 	    1 
  36 	 	    1 
  37 	 	    5 
  38 	 	    4 
  39 	 	    1 
  40 	 	    5 
  41 	 	    1 
  42 	 	    1 
  43 	 	    4 
  44 	 	    3 
  45 	 	    5 
  46 	 	    2 
  47 	 	    1 
  48 	 	    3 
  49 	 	    1 
  50 	 	    1 
  51 	 	    2 
  52 	 	    9 
  53 	 	    2 
  54 	 	    6 
  55 	 	    1 
  56 	 	    6 
  57 	 	    1 
  58 	 	    1 
  59 	 	    7 
  60 	 	    3 
  61 	 	    2 
  62 	 	    2 
  63 	 	    4 
  64 	 	    4 
  65 	 	    7 
  66 	 	    1 
  67 	 	    3 
  68 	 	    5 
  69 	 	    2 
  70 	 	    4 
  71 	 	    5 
  72 	 	    6 
  73 	 	    2 
  74 	 	    3 
  75 	 	    3 
  76 	 	    7 
  77 	 	    3 
  78 	 	    4 
  79 	 	    1 
  80 	 	    1 
  81 	 	    2 
  82 	 	    7 
  83 	 	    4 
  84 	 	    4 
  85 	 	    3 
  86 	 	    1 
  87 	 	    2 
  88 	 	    7 
  89 	 	    2 
  90 	 	    9 
  91 	 	    5 
  92 	 	    2 
  93 	 	    7 
  94 	 	    6 
  95 	 	    1 
  96 	 	    3 
  97 	 	    4 
  98 	 	    1 
  99 	 	    2 
