Spectrum 	 Iteration 
   1 	 	    1 
   2 	 	    6 
   3 	 	    3 
   4 	 	    2 
   5 	 	    1 
   6 	 	    4 
   7 	 	    2 
   8 	 	    2 
   9 	 	    1 
  10 	 	    1 
  11 	 	    2 
  12 	 	    2 
  13 	 	    4 
  14 	 	    2 
  15 	 	    4 
  16 	 	    1 
  17 	 	    3 
  18 	 	    3 
  19 	 	    3 
  20 	 	    3 
  21 	 	    1 
  22 	 	    2 
  23 	 	    4 
  24 	 	    5 
  25 	 	    3 
  26 	 	    7 
  27 	 	    3 
  28 	 	    5 
  29 	 	    1 
  30 	 	    2 
  31 	 	    3 
  32 	 	    5 
  33 	 	    4 
  34 	 	    6 
  35 	 	    3 
  36 	 	    6 
  37 	 	    4 
  38 	 	    4 
  39 	 	    3 
  40 	 	    4 
  41 	 	    6 
  42 	 	    6 
  43 	 	    6 
  44 	 	    2 
  45 	 	    6 
  46 	 	    4 
  47 	 	    4 
  48 	 	    3 
  49 	 	    8 
  50 	 	    5 
  51 	 	    1 
  52 	 	    5 
  53 	 	    4 
  54 	 	    3 
  55 	 	    8 
  56 	 	    7 
  57 	 	    1 
  58 	 	    1 
  59 	 	    1 
  60 	 	    1 
  61 	 	    1 
  62 	 	    9 
  63 	 	    7 
  64 	 	    2 
  65 	 	    1 
  66 	 	    1 
  67 	 	    1 
  68 	 	    1 
  69 	 	    1 
  70 	 	    1 
  71 	 	    1 
  72 	 	    1 
  73 	 	    1 
  74 	 	    1 
  75 	 	    1 
  76 	 	    1 
  77 	 	    1 
  78 	 	    1 
  79 	 	    1 
  80 	 	    1 
  81 	 	    1 
  82 	 	    1 
  83 	 	    1 
  84 	 	    1 
  85 	 	    1 
  86 	 	    1 
  87 	 	    1 
  88 	 	    1 
  89 	 	    2 
  90 	 	    1 
  91 	 	    2 
  92 	 	    1 
  93 	 	    1 
  94 	 	    1 
  95 	 	    2 
  96 	 	    1 
  97 	 	    3 
  98 	 	    1 
  99 	 	    1 
 100 	 	    1 
